id,energy
3793,-64.17016309250872
3794,-67.87525739360919
3795,-58.73588905157743
3796,-62.29248884235052
3797,-74.77785135731122
3798,-69.307194648078
3799,-49.737575085246995
3800,-67.43507147615244
3801,-97.84809918660568
3802,-74.63601112979985
3803,-68.01129885377375
3804,-74.85156333608917
3805,-76.9263317460096
3806,-97.14954901358996
3807,-44.12296652030652
3808,-70.53478755166248
3809,-77.3356080218189
3810,-52.073697916732264
3811,-64.27874089989972
3812,-61.75637057712338
3813,-63.50624726736799
3814,-68.20636197674277
3815,-75.06113255371235
3816,-66.66010629910507
3817,-75.95868689317669
3818,-70.89401789103911
3819,-90.95268587523516
3820,-91.02325507010171
3821,-53.927089115844254
3822,-54.43348164936932
3823,-60.976618302043825
3824,-69.24686307991568
3825,-68.51088481777856
3826,-74.69775996710845
3827,-97.190666227368
3828,-68.40890742583431
3829,-74.67618964724464
3830,-74.45823139274522
3831,-75.48552423692783
3832,-63.42106616376939
3833,-61.24198886609749
3834,-75.6062657400154
3835,-74.63640907109787
3836,-91.96251325128114
3837,-68.42902211639812
3838,-68.91580170415531
3839,-55.624837352724086
3840,-50.83649098588341
3841,-81.20387593633711
3842,-81.33697455371183
3843,-69.41837776635566
3844,-63.45926082736949
3845,-74.88772875911359
3846,-97.19499979322507
3847,-58.45688764618321
3848,-84.54901073342828
3849,-68.29698787654127
3850,-83.21433363852468
3851,-62.84822307143321
3852,-66.67164397790934
3853,-65.0765240991317
3854,-58.755832051275185
3855,-62.35256236971732
3856,-103.20800598255884
3857,-61.041951991534496
3858,-68.88841804088604
3859,-82.57300322233276
3860,-84.48145352794701
3861,-82.59525393196711
3862,-71.83733049099814
3863,-68.08173717242435
3864,-91.04134724435937
3865,-82.31729665614861
3866,-68.3331496833881
3867,-64.15947007565214
3868,-60.91720696971782
3869,-74.19101839593647
3870,-68.13116832566585
3871,-70.13106837529281
3872,-74.71814402491152
3873,-97.00748625397186
3874,-83.21133149446409
3875,-69.22217261668774
3876,-66.98963061685733
3877,-60.94629146079051
3878,-55.19475763261746
3879,-81.22245864663678
3880,-74.64464916516013
3881,-68.20205909828101
3882,-69.85332582649438
3883,-68.74538546082019
3884,-90.77324688964619
3885,-69.01183000640549
3886,-67.00514754263918
3887,-82.5039090072637
3888,-75.06622209069342
3889,-96.75718210120186
3890,-61.379395244242765
3891,-73.20394926072416
3892,-60.07375984947079
3893,-83.92007559864189
3894,-103.1362705693466
3895,-77.122250161773
3896,-89.297018805157
3897,-69.65087943116804
3898,-63.126372856098534
3899,-82.4743528690422
3900,-96.99683275595407
3901,-72.7113711485797
3902,-76.44959682213668
3903,-82.50415937856243
3904,-82.50128622441672
3905,-68.84234436903577
3906,-55.202541891239896
3907,-62.805924530209595
3908,-53.67945706946162
3909,-68.55575193001944
3910,-76.03439887390816
3911,-62.44741695846204
3912,-61.77840989379995
3913,-97.10264057342262
3914,-68.07677762063655
3915,-48.7127822662401
3916,-55.50083113161809
3917,-75.9191583847444
3918,-75.03188050077664
3919,-90.68560738616212
3920,-61.328560497307905
3921,-97.18832599203529
3922,-97.1628608279177
