id,energy
3793,-82.3612
3794,-70.07806
3795,-70.07806
3796,-86.45558
3797,-65.983665
3798,-78.26683
3799,-74.17243
3800,-74.17243
3801,-65.983665
3802,-70.07806
3803,-86.45558
3804,-78.26683
3805,-86.45558
3806,-70.07806
3807,-74.17243
3808,-74.17243
3809,-57.794895
3810,-74.17243
3811,-61.889282
3812,-57.794895
3813,-78.26683
3814,-102.83311
3815,-74.17243
3816,-70.07806
3817,-102.83311
3818,-94.64434
3819,-74.17243
3820,-78.26683
3821,-70.07806
3822,-78.26683
3823,-86.45558
3824,-78.26683
3825,-86.45558
3826,-78.26683
3827,-86.45558
3828,-74.17243
3829,-65.983665
3830,-102.83311
3831,-74.17243
3832,-65.983665
3833,-94.64434
3834,-61.889282
3835,-61.889282
3836,-78.26683
3837,-65.983665
3838,-61.889282
3839,-65.983665
3840,-78.26683
3841,-74.17243
3842,-61.889282
3843,-78.26683
3844,-70.07806
3845,-61.889282
3846,-65.983665
3847,-65.983665
3848,-86.45558
3849,-70.07806
3850,-94.64434
3851,-94.64434
3852,-53.700516
3853,-74.17243
3854,-86.45558
3855,-74.17243
3856,-78.26683
3857,-57.794895
3858,-86.45558
3859,-74.17243
3860,-57.794895
3861,-61.889282
3862,-78.26683
3863,-65.983665
3864,-61.889282
3865,-61.889282
3866,-86.45558
3867,-78.26683
3868,-74.17243
3869,-61.889282
3870,-78.26683
3871,-86.45558
3872,-86.45558
3873,-70.07806
3874,-78.26683
3875,-82.3612
3876,-57.794895
3877,-70.07806
3878,-82.3612
3879,-61.889282
3880,-86.45558
3881,-94.64434
3882,-61.889282
3883,-65.983665
3884,-65.983665
3885,-70.07806
3886,-65.983665
3887,-74.17243
3888,-74.17243
3889,-82.3612
3890,-82.3612
3891,-78.26683
3892,-65.983665
3893,-74.17243
3894,-78.26683
3895,-86.45558
3896,-57.794895
3897,-78.26683
3898,-86.45558
3899,-57.794895
3900,-65.983665
3901,-70.07806
3902,-86.45558
3903,-70.07806
3904,-94.64434
3905,-82.3612
3906,-61.889282
3907,-65.983665
3908,-74.17243
3909,-78.26683
3910,-74.17243
3911,-70.07806
3912,-78.26683
3913,-57.794895
3914,-70.07806
3915,-74.17243
3916,-94.64434
3917,-70.07806
3918,-74.17243
3919,-102.83311
3920,-86.45558
3921,-61.889282
3922,-61.889282
3923,-94.64434
3924,-74.17243
3925,-70.07806
3926,-86.45558
3927,-74.17243
3928,-70.07806
3929,-94.64434
3930,-74.17243
3931,-70.07806
3932,-94.64434
3933,-65.983665
3934,-74.17243
3935,-61.889282
3936,-70.07806
3937,-53.700516
3938,-74.17243
3939,-70.07806
3940,-78.26683
3941,-74.17243
3942,-61.889282
3943,-78.26683
3944,-70.07806
3945,-78.26683
3946,-82.3612
3947,-65.983665
3948,-74.17243
3949,-65.983665
3950,-90.54996
3951,-70.07806
3952,-70.07806
3953,-94.64434
3954,-49.606125
3955,-82.3612
3956,-65.983665
3957,-86.45558
3958,-49.606125
3959,-82.3612
3960,-74.17243
3961,-86.45558
3962,-86.45558
3963,-78.26683
3964,-65.983665
3965,-78.26683
3966,-65.983665
3967,-65.983665
3968,-94.64434
3969,-57.794895
3970,-70.07806
3971,-86.45558
3972,-82.3612
3973,-78.26683
3974,-70.07806
3975,-41.41736
3976,-78.26683
3977,-70.07806
3978,-74.17243
3979,-65.983665
3980,-74.17243
3981,-86.45558
3982,-102.83311
3983,-57.794895
3984,-78.26683
3985,-57.794895
3986,-86.45558
3987,-65.983665
3988,-65.983665
3989,-65.983665
3990,-78.26683
3991,-57.794895
3992,-86.45558
3993,-61.889282
3994,-57.794895
3995,-61.889282
3996,-65.983665
3997,-45.51174
3998,-78.26683
3999,-57.794895
4000,-49.606125
4001,-61.889282
4002,-74.17243
4003,-82.3612
4004,-65.983665
4005,-82.3612
4006,-57.794895
4007,-61.889282
4008,-74.17243
4009,-78.26683
4010,-86.45558
4011,-94.64434
4012,-53.700516
4013,-74.17243
4014,-78.26683
4015,-78.26683
4016,-70.07806
4017,-78.26683
4018,-70.07806
